ID,Name,Description,Allergens,Protein (g),Fat (g),Carbs (g),Energy (kcal),Image URL,Category
196,Dabl Big Tasty™ (Toyuq),"Həcmli küncütlü bulka arasında toyuqdan olan 2 ədəd kotlet. Üç dilim Emmental pendiri, iki dilim təzə pomidor, Aysberq salatı, təzə soğan və “Qril” sousu ona xüsusi dad verir.","Süd, Yumurta, Qlüten, Küncüt tumları.",76,30,50,1114,https://mcdonalds.az/images/1b69a49ee3034c2bf2d69893c0fac1d7.png,Main
197,Şokoladlı Frappe,Südlü və xoş şokolad dadlı soyuq içki.,"Fındıq, Süd, Soya, Qlüten, Yumurta.",13,4,67,355,https://mcdonalds.az/images/544a20f6bc194d2b1999006b050888d9.png,McCafe
198,Karamelli Frappe,Karamel və qəhvə dadına malik dadlı soyuq içki. Üstü çalınmış qaymaq və karamelli sous ilə bəzədilib.,"Fındıq, Süd, Soya, Qlüten, Yumurta.",8,20,70,490,https://mcdonalds.az/images/761b6c992e3223ce6071b6b199f21f14.png,McCafe
199,Çiyələkli Smuzi,McCafé® resepti ilə hazırlanmış çiyələkli smuzi süd və buz ilə qarışdırılmış çiyələk püresi və qaymaqlı yoğurtun ləzzətli birləşməsidir.,"Fındıq, Süd, Soya, Qlüten, Yumurta.",2,1,28,131,https://mcdonalds.az/images/4052c0f567eece8b6e96c1435fc5bb91.png,Other
200,Smuzi Marakuya,McCafé® resepti ilə hazırlanmış marakuyalı smuzi süd və buz ilə qarışdırılmış marakuya püresi və qaymaqlı yoğurtun ləzzətli birləşməsidir.,"Fındıq, Süd, Soya, Qlüten, Yumurta.",5,0,82,350,https://mcdonalds.az/images/f560ee954d6d6cf9699b1557a30e7d26.png,Other
201,Smuzi Qaragilə,McCafé® resepti ilə hazırlanmış qaragiləli smuzi süd və buz ilə qarışdırılmış qaragilə püresi və qaymaqlı yoğurtun ləzzətli birləşməsidir.,"Fındıq, Süd, Soya, Qlüten, Yumurta.",4,3,25,146,https://mcdonalds.az/images/cf49f8e8cd4f429217c6a27707abfec5.png,Other
202,Limonad Qreypfrut,Qreypfrut dadlı sərinləşdirici qazlı içki.,,,,,,https://mcdonalds.az/images/8eacd087f249be56fa8a766934bf3977.png,Other
203,Limonad Çiyələk,Çiyələk dadlı sərinləşdirici qazlı içki.,,,,,,https://mcdonalds.az/images/fb4564392f6684808edbe80fb1a45bd8.png,Other
204,Südlü Kokteyl (Banan)                                                                 (0.25L),"Yüksək keyfiyyətli, təzə süd və sirop qarışığından hazırlanmış qatı və ətirli kokteyl.",Süd.,5,3,33,188,https://mcdonalds.az/images/57291369a6f44b1ef2f9c64ab1de734a.png,Other
205,Südlü Kokteyl (Banan)                                                                 (0.4L),"Yüksək keyfiyyətli, təzə süd və sirop qarışığından hazırlanmış qatı və ətirli kokteyl.",Süd.,5,3,33,188,https://mcdonalds.az/images/6057a1402a34160940cc50eb6345f5f6.png,Other
206,Südlü Kokteyl (Banan)                                                                 (0.5L),"Yüksək keyfiyyətli, təzə süd və sirop qarışığından hazırlanmış qatı və ətirli kokteyl.",Süd.,5,3,33,188,https://mcdonalds.az/images/5e9ec393fbcd906bd9efba7668e022d5.png,Other
207,Çiken Bayts (10 əd.),"Fritürda, unda qızardılmış xırçıldayan acılı toyuq filesinin dilimləri.","Süd, Qlüten, Kərəviz, Yumurta.",17,18,12,279,https://mcdonalds.az/images/28969e815c2869a1b1b5601c3d63a656.png,Snack
208,Şaurma Roll,"Lavaşda xüsüsi sousun əlavəsi ilə suxarıya batırılmış, qızardılmış toyuq filesi, kartof və turşu xiyar.","Sülfidlər, Xardal, Yumurta, Kərəvizç Qlüten.",13,16,23,390,https://mcdonalds.az/images/c20f2510cbddb63206c7d6c4ad263159.png,Main
209,McFlurry™ (Albalı Kit-Kat™),"Kit-Kat™ və Albalı əlavəli, təbii, üzlü süddən hazırlanmış yumşaq qaymaqlı dondurma.","Fındıq, Süd, Soya, Qlüten.",6,8,50,300,https://mcdonalds.az/images/45612a56e57d70a1d4f7f0c6bf6ff36c.png,Other
210,MakSandey Babl Qam,"Təbii, üzlü süddən hazırlanmış Babl Qam dolğulu dondurma.","Süd, Soya, Qlüten.",5,4,48,250,https://mcdonalds.az/images/b1783f42bfc769ec787990b915e81ac4.png,Other
211,Profitrol (ağ kremli),Ağ şokolad profiterolları şokolad ətirli krem ​​və şokolad lopaları ilə örtülmüşdür.,Fındıq.,2,20,24,294,https://mcdonalds.az/images/4d56f169904b504643b54d360a63cbf6.png,Other
212,Profitrol (şokoladlı),Şokolad profiterolları ətirli krem ilə.,"Fındıq, Soya.",3,20,25,295,https://mcdonalds.az/images/07aaabdddd8eaafb06726785358f05d6.png,Other
213,McPops™  (şokoladlı),Şokolad içlikli yüngül ponçiklər.,"Süd, Soya, Yumurta, Qlüten, Fındıq, Küncüt..",6,33,46,509,https://mcdonalds.az/images/a67812054789c6d223c46796f8f28f8f.png,Other
214,McPops™  (südlü karamelli),Südlü karamelli içlikli yüngül ponçiklər.,"Süd, Soya, Yumurta, Qlüten, Fındıq.",6,34,48,529,https://mcdonalds.az/images/9705a6f508f0924323834a031b865b5d.png,Other
215,McPops™  (giləmeyvə),Giləmeyvə içlikli yüngül ponçiklər.,"Süd, Soya, Yumurta, Qlüten, Fındıq, Küncüt.",5,24,45,417,https://mcdonalds.az/images/6b41bbf42bee7e6a372127ca114995a9.png,Other
216,McCrispy™,"Küncütlü bulkanın arasında 100% toyuq filesindən xırtıldayan kotlet, təzə Aysberq salatı və ranç sousu.","Süd, Yumurta, Qlüten, Küncüt tumları.",26,18,53,484,https://mcdonalds.az/images/eb02fdcd1e6fc5a0bdfae04a73cfaadc.png,Other
217,Toyuq qanadları                                                                 (8 əd.),Ədviyyəli və qədərində xırçıltılı toyuq qanadları.,Qlüten.,42,35,46,671,https://mcdonalds.az/images/c05b8f82850e5143eb34b76838216642.png,Snack
218,Maestro burger,"Küncütlü bulka arasında 100% mal ətindən bifşteks, Emmental pendiri, təzə pomidor, duzlu xiyar, aysberq salatı, qızarılmış göbələk, qızarılmış soğan və “deluxe” sousu ona xüsusi dad verir.","Xardal ,Yumurta, Süd, Küncüt , Glüten.",32,33,49,623,https://mcdonalds.az/images/7c406dd0907a3d93e42598dd373832e7.png,Other
219,Çiken strips                                                                 (3 əd.),"Xüsusi tamlı, acılı və xırçaldayan çiken stripslər.",Qlüten.,17,12,23,270,https://mcdonalds.az/images/ee4f7322e8d05e1f205d3793f8bd1fe7.png,Snack
220,Çiken strips                                                                 (5 əd.),"Xüsusi tamlı, acılı və xırçaldayan çiken stripslər.",Qlüten.,28,21,38,450,https://mcdonalds.az/images/30404c00c824b488c921843df315de41.png,Snack
221,Maffin,"Qızarmış  toyuq yumurtası, bir dilim pendir və isti-isti qızarmış Maffin bulkası.","Süd,  Yumurta, Qlüten, Küncüt tumları.",15,14,27,295,https://mcdonalds.az/images/c1213b66f97923ebc0cb629a56207a51.png,Other
222,Maffin ət ilə,"100% mal ətindən döyülmüş bifşteks, qızarmış  toyuq yumurtası, bir dilim pendir və isti-isti qızarmış  Muffin bulkası.","Süd,  Yumurta, Qlüten, Küncüt tumları.",25,23,30,423,https://mcdonalds.az/images/2b95389d6a0e4a2916b74fd3a14b132c.png,Other
223,Dabl  Maffin ət ilə,"iki ədəd 100% mal ətindən döyülmüş bifşteks, qızarmış  toyuq yumurtası, bir dilim pendir və isti-isti qızarmış  Maffin bulkası.","Süd,  Yumurta, Qlüten, Küncüt tumları.",35,32,33,551,https://mcdonalds.az/images/8bad08c9067be348de3b21df430091d6.png,Other
224,Omlet  Maffin,"Omlet, bir dilim pendir və isti-isti qızarmış Maffin bulkası.","Süd,  Yumurta, Qlüten, Küncüt tumları.",14,11,26,189,https://mcdonalds.az/images/ea92fecc92b63eeeb7c3ca026b48c55f.png,Other
225,Omlet Maffin ət ilə,"100% təmiz mal ətindən kotlet, omlet, bir dilim pendir və isti-isti qızarmış  Maffin bulkası.","Süd,  Yumurta, Qlüten, Küncüt tumları.",22,24,29,405,https://mcdonalds.az/images/92549d1ce24179b2bce678e4c97e8a0b.png,Other
226,Dabl Omlet  Maffin ət ilə,"100% mal ətindən döyülmüş bifşteks, omlet, bir dilim pendir və isti-isti qızarmış  Maffin bulkası.","Süd,  Yumurta, Qlüten, Küncüt tumları.",34,31,27,549,https://mcdonalds.az/images/b3d3467789c012e3ed525c1590871860.png,Other
227,Omlet,"Omlet, yağ, isti-isti qızarmış  Maffin bulkası – boşqabda.","Süd,  Yumurta, Qlüten, Küncüt tumları.",,,,,https://mcdonalds.az/images/9c24934305c4cf72a9918af4ded1001e.png,Other
228,Böyük Səhər yeməyi,"100% mal ətindən döyülmüş bifşteks, omlet, haşbraun, yağ və ya cem, isti-isti qızarmış  Maffin bulkası – boşqabda.","Süd,  Yumurta, Qlüten, Küncüt tumları.",,,,,https://mcdonalds.az/images/52974b1a968dcf8d3d83cdbdb7799c38.png,Other
229,Haşbraun,"Xırdalanmış haşbraun kartof kotleti – içi yumşaq, üstü isə xırtıltılı və qızarmış.","Süd, Qlüten.",1,7,24,172,https://mcdonalds.az/images/6ba8cb22e836adf0035f2b41cd23fb42.png,Other
230,Yağ (82.5%),Allergenlər: Süd.,Süd.,,,,,https://mcdonalds.az/images/c217126891ba502a0575b0bbbb135cbf.png,Other
231,Bal,Maffin,,,,,,https://mcdonalds.az/images/3c130f83a5a3928b2eb279cbf6e1a03a.png,Other
232,Cem,Maffin,,,,,,https://mcdonalds.az/images/25a1f6a0b53957a616914fcd6baac775.png,Other
233,Çiken boks,"3 Toyuq qanadları, 3 Çiken strips, 10 Çiken Bayts , 6 Çiken McNuggets & 1 Frenç Frayz (Ekstra).","Kərəviz, Qlüten,",68,58,73,1085,https://mcdonalds.az/images/3b8b65b35ce9caa68e583b5f122bbe8a.png,Snack
234,Habanero sous  (40ml),"İştahaçan, ədviyyatlı sous.","Xardal, Yumurta.",0,31,8,313,https://mcdonalds.az/images/ed98e0e99b4d8131c728d92df3405d43.png,Other
235,Dor Blu sous (40ml),Dadlı və ətirli sous.,"Süd, Yumurta.",1,26,6,267,https://mcdonalds.az/images/55051be357f3d4b6ce56f5e98fc0d821.png,Souse
236,Şampinyon delüks (ət),"Karamelləşdirilmiş bulkanın arasında 100% mal ətindən döyülmüş bifşteks, qızarılmış göbələk,  Emmental pendiri, “deluxe” sousu və duzlu xiyar dilimləri.","Xardal ,Yumurta, Süd, Glüten.",32,33,49,623,https://mcdonalds.az/images/e8edf5122942353de6c6bd18da56718a.png,Other
237,Şampinyon delüks (toyuq),"Karamelləşdirilmiş bulkanın arasında qızardılmış toyuq kotleti, qızarılmış göbələk,  Emmental pendiri, “deluxe” sousu və duzlu xiyar dilimləri.","Xardal ,Yumurta, Süd, Kərəviz, Glüten.",33,32,64,679,https://mcdonalds.az/images/dad2e355b385d82edcf1d42d53982545.png,Other
238,Mini Tasty,"Karamelləşdirilmiş bulkanın arasında 100% mal ətindən döyülmüş bifşteks, bir dilim Emmental pendiri, təzə soğan və “Qril” sousu.","Süd, Yumurta, Qlüten.",31,14,36,473,https://mcdonalds.az/images/296c929cceb4e3f5843d3654aac73a93.png,Main
239,Dabl Mini Tasty,"Yumşaq bulka, 2 ədəd 100% mal ətindən bifşteks, 2 zərif emmental pendiri, təzə soğan və özəl tamlı ""Qril"" sousu.","Süd, Yumurta, Qlüten.",62,28,72,946,https://mcdonalds.az/images/7cb31690ca332ca5757ddab43d3779f8.png,Main
240,Acılı sous,Dadlı və ətirli sous,,0,0,11,47,https://mcdonalds.az/images/102c9b4628bc78df00ea1f0792faac4d.png,Souse
241,Maestro Qrill Burger,"Qızardılmış Brioche bulka, 100% mal ətindən bifşteks, Emmental pendiri, turşu xiyarlar, xırtıldayan soğan, təzə kolslou qarışığı, göbələk sousu və hisə verilmiş qril sous.","Süd, Yumurta, Qlüten, Küncüt tumları, Xardal, Kərəviz",49,17,43,526,https://mcdonalds.az/images/70397d03454c3cd019395566ca10662b.png,Other
242,McRoyal Barbekyu,"Karamelləşdirilmiş küncütlü bulkanın arasında 100% mal ətindən döyülmüş bifşteks, 2 ədəd Çedder pendirinin dilimi, barbekyu sousu, xırtıldayan qızardılmış soğan və duzlu xiyar dilimləri.","Küncüt, Qlüten, Kükürd Dioksidi və Sulfitlər, Süd,Kərəviz, Xardal",,,,,https://mcdonalds.az/images/10df32e6094fe80f0f9580e3f8257b1b.jpg,Main
243,Dabl McRoyal Barkekyu,"Karamelləşdirilmiş bulkanın arasında iki ədəd 100% mal ətindən döyülmüş bifşteks, 2 Çedder pendirinin dilimi, barbekyu sousu, xırtıldayan qızardılmış soğan və duzlu xiyar dilimləri.","Küncüt, Qlüten, Kükürd Dioksidi və Sulfitlər, Süd, Kərəviz, Xardal",,,,,https://mcdonalds.az/images/f361ac6befdce00aca980dd9f0f3d687.jpg,Main
