ID,Name,Description,Allergens,Protein (g),Fat (g),Carbs (g),Energy (kcal),Image URL,Category
131,Toyuq qanadları                                                                 (3 əd.),Ədviyyəli və qədərində xırçıltılı toyuq qanadları.,Qlüten.,17,14,19,268,https://mcdonalds.az/images/eec170dd5bc3cab3f86f9fabf4531f29.png,Snack
132,Toyuq qanadları                                                                 (5 əd.),Ədviyyəli və qədərində xırçıltılı toyuq qanadları.,Qlüten.,25,21,28,402,https://mcdonalds.az/images/dd3e1f091aa01f7c5e4c1b99279b5932.png,Snack
140,Maffin (Şokolad və plombir),Şokolad və plombir ilə incə ətirli keks.Şokolad və plombir ilə incə ətirli keks.,"Süd, Küncüt, Laktoza, Qlüten.",5,16,49,360,https://mcdonalds.az/images/8139b39cd72f434a21dcbb720fb053f6.jpg,Dessert
141,Çurasko Burger (ət),"Çurasko burgerin tərkibi: küncütlü brioş bulka, 100% mal ətindən döyülmüş bifşteks, emmental pendirinin dilimi, aysberq salatı, qızardılmış soğan, duzlu xiyar və təzə pomidor dilimləri, reyhan və çurasko sousları.","Süd, Yumurta, Qlüten, Küncüt tumları.",54,53,91,542,https://mcdonalds.az/images/171fb586b198276500ac3454c8ddae66.jpg,Other
142,Çurasko Burger (toyuq),"Çurasko burgerin tərkibi: küncütlü brioş bulka, toyuq ətindən kotlet, emmental pendirinin dilimi, aysberq salatı, qızardılmış soğan, duzlu xiyar və təzə pomidor dilimləri, reyhan və çurasko sousları.","Süd, Yumurta, Qlüten, Küncüt tumları.",27,13,60,540,https://mcdonalds.az/images/7999dc28de3b6e167e5934c2182a76d6.jpg,Other
143,Manqal (Ət),"Yumşaq küncütlü bulkasının arasında 100% mal ətindən iştahaçan bifşteks, dadlı souslar, xırçıldayan salatı, duzlu xıyar, təzə qırmızı soğan və pomidor.","Süd, Yumurta, Qlüten, Xardal, Küncüt tumları.",,,,,https://mcdonalds.az/images/654869b256914f936c050bdc2ad7a623.png,Other
144,Manqal (Toyuq),"Yumşaq küncütlü bulkasının arasında toyuq əti, dadlı sous, xırçıldayan salatı, duzlu xıyar, təzə qırmızı soğan və pomidor.","Süd, Yumurta, Qlüten, Xardal, Küncüt tumları.",,,,,https://mcdonalds.az/images/a7edcaed4706707d7b5064f2ba7c715b.jpg,Other
145,Spaysi Çizzi                                                                 (5 əd.),Çili istiotlu xırçıldayan əridilmiş pendir.,"Süd, Soya, Qlüten, Yumurta.",,,,,https://mcdonalds.az/images/d019c15fdde4d0bbeea6843d5012141d.jpg,Other
146,Spaysi Çizzi                                                                 (10 əd.),Çili istiotlu xırçıldayan əridilmiş pendir.,"Süd, Soya, Qlüten, Yumurta.",,,,,https://mcdonalds.az/images/db539b544b2c117dbaf3b63217573762.jpg,Other
147,Çiz Delüks (ət),"Çiz Delüks burgerin tərkibi: küncütlü brioş bulka, 100% mal ətindən döyülmüş bifşteks, pendir kotletı, aysberq salatı, qızardılmış soğan və xüsüsi sous.","Süd, Yumurta, Qlüten, Küncüt tumları.",,,,,https://mcdonalds.az/images/5f34b23a42a4a2eadf60bb43058dfbb6.jpg,Other
148,Çiz Delüks (toyuq),"Çiz Delüks burgerin tərkibi: küncütlü brioş bulka, toyuq filesi, pendir kotlet, aysberq salatı, qızardılmış soğan və xüsüsi sous.","Süd, Yumurta, Qlüten, Küncüt tumları.",,,,,https://mcdonalds.az/images/235d3de32966c70e572c8da6d2e30360.jpg,Other
149,Tərəvəz salatı,"Təzə salat miksi, çeri pomidorları, parmezan pendiri və zeytun.","Süd, Yumurta.",0.8,2,2,31,https://mcdonalds.az/images/cab95537ad86168050d52a2c113c9e9d.png,Other
151,Krevetli Sezar,"Qızardırılmış krevetlər, təzə qarışıq salat, çeri pomidorları və parmezan pendiri.","Süd, Yumurta, Xərçəng-kimilər.",,,,,https://mcdonalds.az/images/b7771afb87ee96f7479779d4e618a932.png,Other
152,Toyuqlu Sezar,"Qızardırılmış toyuq filesi, təzə qarışıq salat, çeri pomidorları və parmezan pendiri.","Süd, Yumurta, Kərəviz.",15,11,17,231,https://mcdonalds.az/images/eebf6f5853eb1abb7cb76eb0da11964c.png,Other
